voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.64839935302734;-4.401877902182605e-7,-2.5921849555743393e-8,0.00007568320870632306,-0.019459519535303116;2.866398507439527e-10,-0.00000380393225896114,0.00006186791870277375,0.0039057198446244;1.9705319687091105e-7,0.0764450952410698,-0.017234869301319122,-0.0026837154291570187;-0.040822580456733704,0.0000012637526651815278,-0.00011100117990281433,0.0002848733274731785
;-87.6484146118164;-4.401881881221925e-7,-2.5921872648382305e-8,0.00007568011642433703,-0.019459525123238564;2.866398507439527e-10,-0.000003803767413046444,0.00006178080366225913,0.003900552401319146;1.967917881984249e-7,0.0764450877904892,-0.01723487488925457,-0.0026837072800844908;-0.04081832617521286,0.0000012620873803825816,-0.0001110042430809699,0.0002838597574736923
;-87.64842987060547;-4.401885576044151e-7,-2.5921897517378056e-8,0.00007567703869426623,-0.019459526985883713;2.8663990625510394e-10,-0.0000038036000660213176,0.00006172101711854339,0.0038971067406237125;1.9661764838474483e-7,0.07644510269165039,-0.01723487675189972,-0.0026837049517780542;-0.04081401601433754,0.000001260980525330524,-0.00011100745177827775,0.00028467635274864733
;-87.64845275878906;-4.401888986649283e-7,-2.592191350458961e-8,0.00007567395368823782,-0.01945953071117401;2.86640045032982e-10,-0.0000038034322642488405,0.00006166123785078526,0.00389366177842021;1.9644349436021002e-7,0.07644505798816681,-0.017234880477190018,-0.0026837007608264685;-0.040809791535139084,0.0000012598733292179531,-0.00011101068957941607,0.00028534268494695425
;-87.64846801757812;-4.4018926814715087e-7,-2.5921933044514844e-8,0.00007567087595816702,-0.01945953629910946;2.8663996176625517e-10,-0.0000038032676457078196,0.00006157414463814348,0.003888494335114956;1.961823699048182e-7,0.07644505798816681,-0.017234882339835167,-0.002683691680431366;-0.04080550745129585,0.000001258208044419007,-0.0001110137309296988,0.00028436051798053086
;-87.64849090576172;-4.401896944727923e-7,-2.5921956137153757e-8,0.00007566778367618099,-0.019459540024399757;2.866400172774064e-10,-0.000003803099616561667,0.0000615143944742158,0.0038850486744195223;1.9600810219344567e-7,0.07644505798816681,-0.017234886065125465,-0.002683688187971711;-0.04080124944448471,0.0000012571010756801115,-0.00011101696145487949,0.0002851050812751055
;-87.64850616455078;-4.4018997868988663e-7,-2.592197745343583e-8,0.0000756647132220678,-0.019459543749690056;2.8664007278855763e-10,-0.000003802935452767997,0.00006142734491731972,0.0038798812311142683;1.957468498403614e-7,0.0764450654387474,-0.017234889790415764,-0.0026836791075766087;-0.040797002613544464,0.0000012554357908811653,-0.00011101999552920461,0.00028410396771505475
;-87.64852905273438;-4.401903481721092e-7,-2.5921998769717902e-8,0.00007566162821603939,-0.019459547474980354;2.8664010054413325e-10,-0.0000038027683331165463,0.00006136760930530727,0.0038764358032494783;1.9557259633984359e-7,0.07644505053758621,-0.017234893515706062,-0.0026836772449314594;-0.04079268127679825,0.000001254328367394919,-0.00011102323333034292,0.00028489853139035404
;-87.64854431152344;-4.401907744977507e-7,-2.5922018309643136e-8,0.00007565855048596859,-0.019459553062915802;2.86640045032982e-10,-0.0000038026041693228763,0.00006128058885224164,0.0038712681271135807;1.9531144346274232e-7,0.07644504308700562,-0.01723489537835121,-0.002683668863028288;-0.04078845679759979,0.0000012526633099696483,-0.00011102629650849849,0.00028385515906848013
;-87.64856719970703;-4.401911439799733e-7,-2.592203962592521e-8,0.00007565546547994018,-0.0194595567882061;2.866402393220113e-10,-0.0000038024365949240746,0.00006122087506810203,0.003867822466418147;1.9513730364906223e-7,0.07644502818584442,-0.01723489724099636,-0.0026836644392460585;-0.04078418388962746,0.0000012515560001702397,-0.00011102951248176396,0.00028460315661504865
;-87.6485824584961;-4.40191456618777e-7,-2.592206271856412e-8,0.00007565238774986938,-0.0194595605134964;2.8664012829970886e-10,-0.0000038022724311304046,0.00006113386916695163,0.0038626547902822495;1.948759091874308e-7,0.07644503563642502,-0.017234904691576958,-0.0026836562901735306;-0.04077991843223572,0.000001249890487997618,-0.00011103255383204669,0.00028361164731904864
;-87.64859771728516;-4.4019176925758075e-7,-2.5922080482132515e-8,0.00007564930274384096,-0.019459564238786697;2.866401838108601e-10,-0.000003802104856731603,0.00006107416993472725,0.003859209129586816;1.9470176937375072e-7,0.07644502818584442,-0.017234906554222107,-0.0026836509350687265;-0.04077566787600517,0.0000012487832918850472,-0.0001110357407014817,0.0002843521651811898
;-87.64862060546875;-4.401921955832222e-7,-2.5922107127485106e-8,0.00007564622501377016,-0.019459569826722145;2.8664032258873817e-10,-0.000003801937737080152,0.00006101449980633333,0.0038557639345526695;1.9452764377092535e-7,0.07644499838352203,-0.017234910279512405,-0.0026836474426090717;-0.04077139496803284,0.0000012476760957724764,-0.0001110389202949591,0.00028507813112810254
;-87.64863586425781;-4.401926503305731e-7,-2.592212666741034e-8,0.00007564316183561459,-0.019459573552012444;2.8664026707758694e-10,-0.0000038017731185391312,0.00006092754483688623,0.003850596258416772;1.942665051046788e-7,0.07644499838352203,-0.017234912142157555,-0.0026836390607059;-0.04076717048883438,0.0000012460108109735302,-0.00011104201985290274,0.0002840475062839687
;-87.6486587524414;-4.401930198127957e-7,-2.5922144430978733e-8,0.00007564008410554379,-0.01945957913994789;2.866403503443138e-10,-0.000003801606226261356,0.00006086789653636515,0.003847150830551982;1.94092251604161e-7,0.07644497603178024,-0.017234914004802704,-0.002683637198060751;-0.04076289013028145,0.0000012449035011741216,-0.00011104517034254968,0.0002847827854566276
;-87.64867401123047;-4.401933324515994e-7,-2.5922169299974485e-8,0.00007563701365143061,-0.01945958100259304;2.866403503443138e-10,-0.000003801442062467686,0.0000607809706707485,0.0038419829215854406;1.938309708293673e-7,0.07644497603178024,-0.01723491959273815,-0.002683627652004361;-0.04075862467288971,0.0000012432379890015,-0.0001110482553485781,0.00028379098512232304
;-87.64868927001953;-4.4019364509040315e-7,-2.592218528718604e-8,0.00007563394319731742,-0.01945958472788334;2.866403780998894e-10,-0.0000038012747154425597,0.00006072132964618504,0.0038385374937206507;1.9365684522654192e-7,0.07644492387771606,-0.0172349214553833,-0.002683623693883419;-0.04075442627072334,0.0000012421309065757669,-0.00011105140583822504,0.00028443094925023615
;-87.64871215820312;-4.4019401457262575e-7,-2.5922201274397594e-8,0.00007563087274320424,-0.019459588453173637;2.866403780998894e-10,-0.0000038011073684174335,0.00006066170317353681,0.003835092531517148;1.934825775151694e-7,0.07644493132829666,-0.0172349214553833,-0.002683619735762477;-0.04075010120868683,0.0000012410234830895206,-0.0001110546218114905,0.00028525746893137693
;-87.64872741699219;-4.4019449774168606e-7,-2.5922231472463864e-8,0.00007562780228909105,-0.019459595903754234;2.8664046136661625e-10,-0.000003800942977250088,0.00006057481368770823,0.0038299241568893194;1.9322143884892284e-7,0.07644493132829666,-0.017234928905963898,-0.0026836111210286617;-0.040745873004198074,0.000001239357970916899,-0.00011105766316177323,0.0002842197136487812
;-87.64875030517578;-4.4019483880219923e-7,-2.5922251012389097e-8,0.00007562473183497787,-0.019459597766399384;2.866405723889187e-10,-0.0000038007756302249618,0.000060515212680911645,0.0038264791946858168;1.930473274569522e-7,0.07644493877887726,-0.017234930768609047,-0.002683609025552869;-0.04074167087674141,0.0000012382506611174904,-0.00011106088641099632,0.00028491340344771743
;-87.64876556396484;-4.401952082844218e-7,-2.5922277657741688e-8,0.00007562165410490707,-0.019459601491689682;2.866405168777675e-10,-0.0000038006116938049672,0.000060428352298913524,0.0038213112857192755;1.9278593299532076e-7,0.07644493877887726,-0.017234936356544495,-0.0026836004108190536;-0.040737368166446686,0.000001236585035258031,-0.00011106397869298235,0.0002839572844095528
;-87.6487808227539;-4.4019560618835385e-7,-2.592229719766692e-8,0.0000756185909267515,-0.01945960707962513;2.8664065565564556e-10,-0.000003800444346779841,0.00006036876220605336,0.003817865625023842;1.9261179318164068e-7,0.07644489407539368,-0.017234936356544495,-0.002683595521375537;-0.04073318466544151,0.0000012354776117717847,-0.00011106710007879883,0.00028458639280870557
;-87.6488037109375;-4.401960325139953e-7,-2.5922318513948994e-8,0.00007561552047263831,-0.01945960894227028;2.866406834112212e-10,-0.0000038002772271283902,0.00006030920849298127,0.003814420895650983;1.924376675788153e-7,0.07644490152597427,-0.017234940081834793,-0.002683592028915882;-0.04072891175746918,0.0000012343701882855385,-0.00011107033060397953,0.00028535115416161716
