voltage;INa, Ito, ICaL, IKr;IKs, IK1, INaCa, INaK;INab, ICab, IKb, IpCa;INalate,NA,NA,NA
;-87.83087158203125;-0.0026198371779173613,-0.0000028925473998242524,-1.8369621557212668e-7,-0.0006283066468313336;-1.9262431649735845e-9,-0.028241772204637527,-0.026105010882019997,0.09457532316446304;-0.017268015071749687,-0.01949966512620449,-0.0000018129609316019923,0.0000741898111300543;-0.00011642830941127613,0,0,0
;-87.83087158203125;-0.002619841368868947,-0.0000028925730930495774,-1.836962297829814e-7,-0.0006282408721745014;-1.926229842297289e-9,-0.028241772204637527,-0.02610289305448532,0.09457525610923767;-0.017268015071749687,-0.01949966512620449,-0.0000018129609316019923,0.00007418752647936344;-0.00011643041216302663,0,0,0
;-87.83087158203125;-0.0026198450941592455,-0.0000028925987862749025,-1.8369625820469082e-7,-0.0006281750975176692;-1.9262167416655984e-9,-0.028241772204637527,-0.026100797578692436,0.09457521885633469;-0.017268015071749687,-0.01949966512620449,-0.0000018129609316019923,0.00007418523455271497;-0.0001164325003628619,0,0,0
;-87.83087158203125;-0.0026198490522801876,-0.0000028926244795002276,-1.8369630083725497e-7,-0.000628109322860837;-1.9262040851231177e-9,-0.028241772204637527,-0.026098689064383507,0.09457521140575409;-0.017268015071749687,-0.01949966512620449,-0.0000018129609316019923,0.00007418293535010889;-0.00011643458856269717,0,0,0
;-87.83087921142578;-0.002619848819449544,-0.0000028927875064255204,-1.8369644294580212e-7,-0.0006280735251493752;-1.9261923167590567e-9,-0.028243128210306168,-0.026096589863300323,0.09457515180110931;-0.017268015071749687,-0.01949966698884964,-0.000001813044832488231,0.00007418065069941804;-0.00011643653124338016,0,0,0
;-87.83090209960938;-0.0026198376435786486,-0.000002893225882871775,-1.8369655663263984e-7,-0.0006280968664214015;-1.9261838790640695e-9,-0.02824719436466694,-0.026094481348991394,0.09457511454820633;-0.017268020659685135,-0.019499674439430237,-0.0000018133018784283195,0.00007417835877276957;-0.00011643811012618244,0,0,0
;-87.83091735839844;-0.0026198315899819136,-0.000002893526470870711,-1.8369649978922098e-7,-0.0006280908128246665;-1.926173665012243e-9,-0.02824990265071392,-0.026092365384101868,0.09457506984472275;-0.017268024384975433,-0.019499674439430237,-0.0000018134730908059282,0.0000741760668461211;-0.00011643990728771314,0,0,0
;-87.8309326171875;-0.0026198248378932476,-0.000002893826604122296,-1.8369645715665683e-7,-0.0006280845263972878;-1.9261634509604164e-9,-0.02825261279940605,-0.026090247556567192,0.09457501769065857;-0.017268026247620583,-0.019499678164720535,-0.0000018136440758098615,0.00007417378219543025;-0.00011644169717328623,0,0,0
;-87.83094787597656;-0.002619821112602949,-0.0000028941260552528547,-1.836963434698191e-7,-0.0006280782981775701;-1.9261534589531948e-9,-0.028255324810743332,-0.026088152080774307,0.09457501769065857;-0.01726802997291088,-0.019499683752655983,-0.0000018138140376322553,0.00007417148299282417;-0.00011644340702332556,0,0,0
;-87.83096313476562;-0.0026198134291917086,-0.0000028944264158781152,-1.8369621557212668e-7,-0.0006280721281655133;-1.926143466945973e-9,-0.028258036822080612,-0.02608605846762657,0.09457496553659439;-0.01726803183555603,-0.019499685615301132,-0.000001813985250009864,0.00007416919834213331;-0.00011644520418485627,0,0,0
