voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.62187957763672;-4.704727416537935e-7,-2.6044338241604237e-8,0.00007786633796058595,-0.019453689455986023;2.8823538000821713e-10,-0.000003884064881276572,0.0001438460749341175,0.009044542908668518;4.577495360535977e-7,0.074344702064991,-0.017230616882443428,-0.0027007353492081165;-0.04393870010972023,0.000002923271267718519,-0.00011094646470155567,0.0002862159162759781
;-87.62189483642578;-4.704734806182387e-7,-2.6044380874168382e-8,0.0000778636458562687,-0.01945369318127632;2.882356575639733e-10,-0.000003883901172230253,0.00014375192404258996,0.00903939176350832;4.5748754473606823e-7,0.07434473931789398,-0.017230620607733727,-0.0027007258031517267;-0.043934792280197144,0.000002921623035945231,-0.000110949607915245,0.0002849097363650799
;-87.62191009521484;-4.704740774741367e-7,-2.604441462494833e-8,0.00007786095375195146,-0.01945369690656662;2.882358518530026e-10,-0.000003883734279952478,0.00014368517440743744,0.009035957045853138;4.573129785967467e-7,0.074344702064991,-0.017230624333024025,-0.002700721612200141;-0.04393087327480316,0.0000029205311875557527,-0.00011095281661255285,0.0002852858742699027
;-87.6219253540039;-4.704747311734536e-7,-2.604444837572828e-8,0.00007785826892359182,-0.01945370063185692;2.882360738976075e-10,-0.000003883567842422053,0.00014361849753186107,0.009032522328197956;4.5713812824033084e-7,0.07434472441673279,-0.017230626195669174,-0.002700717654079199;-0.04392699897289276,0.000002919439793913625,-0.00011095610534539446,0.00028568037669174373
;-87.6219482421875;-4.7047549855960824e-7,-2.6044491008292425e-8,0.00007785558409523219,-0.019453704357147217;2.882364069645149e-10,-0.000003883400950144278,0.00014355179155245423,0.009029088541865349;4.569635621010093e-7,0.0743447095155716,-0.017230629920959473,-0.002700714860111475;-0.043923113495111465,0.0000029183479455241468,-0.00011095931404270232,0.00028604164253920317
;-87.62196350097656;-4.704760954155063e-7,-2.6044524759072374e-8,0.00007785289926687256,-0.019453708082437515;2.8823649023124176e-10,-0.000003883236786350608,0.00014345772797241807,0.00902393739670515;4.56701911843993e-7,0.07434466481208801,-0.017230631783604622,-0.0027007069438695908;-0.043919216841459274,0.0000029166999411245342,-0.00011096246453234926,0.0002846441639121622
;-87.62197875976562;-4.7047683437995147e-7,-2.604456561527968e-8,0.00007785020716255531,-0.019453711807727814;2.882367122758467e-10,-0.0000038830698940728325,0.00014339106564875692,0.009020502679049969;4.565272888612526e-7,0.07434464246034622,-0.01723063737154007,-0.002700702054426074;-0.04391537606716156,0.0000029156078653613804,-0.00011096570960944518,0.00028494923026300967
;-87.62199401855469;-4.704774312358495e-7,-2.604459758970279e-8,0.00007784752961015329,-0.019453715533018112;2.8823701758717846e-10,-0.000003882903456542408,0.00014332438877318054,0.009017067961394787;4.563524953482556e-7,0.07434464246034622,-0.01723063737154007,-0.0027006983291357756;-0.04391147196292877,0.0000029145162443455774,-0.00011096890375483781,0.0002853477490134537
;-87.62200927734375;-4.7047814177858527e-7,-2.6044633116839577e-8,0.00007784484478179365,-0.01945371925830841;2.8823721187620777e-10,-0.000003882736564264633,0.00014325775555334985,0.009013633243739605;4.561779292089341e-7,0.07434462755918503,-0.017230641096830368,-0.0027006955351680517;-0.043907612562179565,0.000002913424395956099,-0.0001109721779357642,0.00028568448033183813
;-87.62203216552734;-4.704788238996116e-7,-2.6044668643976365e-8,0.00007784217450534925,-0.01945372298359871;2.882374616763883e-10,-0.0000038825696719868574,0.00014319115143734962,0.009010199457406998;4.560033346479031e-7,0.07434466481208801,-0.017230644822120667,-0.0027006911113858223;-0.04390373080968857,0.000002912332774940296,-0.00011097540118498728,0.00028609790024347603
