voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.60150909423828;-4.7552464366162894e-7,-2.6325263746684868e-8,0.00007900642231106758,-0.019449207931756973;2.915344354814664e-10,-0.0000035831860714097274,0.00020344092627055943,0.013078521937131882;6.635045792791061e-7,0.07198142260313034,-0.017227476462721825,-0.002717523369938135;-0.045663248747587204,0.000004256887677911436,-0.00011290864495094866,0.00028576591284945607
;-87.60152435302734;-4.7552521209581755e-7,-2.632529039203746e-8,0.00007900402852101251,-0.01944921165704727;2.9153451874819325e-10,-0.000003583034413168207,0.00020337049500085413,0.01307509746402502;6.633296720792714e-7,0.07198139280080795,-0.017227476462721825,-0.0027175203431397676;-0.04565964266657829,0.000004255798558006063,-0.00011291148257441819,0.00028585336985997856
;-87.6015396118164;-4.755257236865873e-7,-2.6325324142817408e-8,0.00007900162017904222,-0.01944921351969242;2.9153468528164694e-10,-0.0000035828829823003616,0.0002033000491792336,0.013071670196950436;6.631547080360178e-7,0.07198139280080795,-0.017227480188012123,-0.00271751475520432;-0.04565605893731117,0.00000425470943810069,-0.00011291424743831158,0.0002859333180822432
;-87.60155487060547;-4.755263773859042e-7,-2.6325359669954196e-8,0.00007899923366494477,-0.01944921910762787;2.915349628374031e-10,-0.000003582731778806192,0.00020322961790952832,0.013068243861198425;6.629799145230209e-7,0.07198139280080795,-0.01722748391330242,-0.0027175096329301596;-0.04565256088972092,0.000004253619408700615,-0.00011291704140603542,0.0002859298256225884
;-87.60157012939453;-4.755269458200928e-7,-2.6325388091663626e-8,0.00007899683259893209,-0.019449222832918167;2.915351016152812e-10,-0.0000035825801205646712,0.00020315921574365348,0.013064819388091564;6.628045525758353e-7,0.07198137044906616,-0.01722748391330242,-0.0027175068389624357;-0.04564899578690529,0.000004252529834047891,-0.00011291989358142018,0.0002859688247554004
;-87.6015853881836;-4.75527485832572e-7,-2.6325423618800414e-8,0.00007899443880887702,-0.019449222832918167;2.9153524039315926e-10,-0.000003582428689696826,0.0002030887990258634,0.01306139212101698;6.626296453760006e-7,0.07198135554790497,-0.01722748763859272,-0.002717501251026988;-0.04564541578292847,0.000004251440714142518,-0.00011292263661744073,0.0002860317472368479
;-87.60160064697266;-4.7552808268847e-7,-2.6325455593223523e-8,0.00007899204501882195,-0.019449228420853615;2.9153543468218857e-10,-0.0000035822774862026563,0.00020301838230807334,0.013057967647910118;6.624547950195847e-7,0.07198135554790497,-0.017227493226528168,-0.0027174970600754023;-0.04564187675714493,0.000004250350684742443,-0.00011292548151686788,0.000286067312117666
;-87.60161590576172;-4.755287079660775e-7,-2.6325487567646633e-8,0.0000789896585047245,-0.019449232146143913;2.915356844823691e-10,-0.0000035821258279611357,0.00020294796559028327,0.013054541312158108;6.622798309763311e-7,0.07198131829500198,-0.017227493226528168,-0.0027174940332770348;-0.045638345181941986,0.000004249261110089719,-0.00011292822455288842,0.00028606163687072694
;-87.60163879394531;-4.755292764002661e-7,-2.6325515989356063e-8,0.00007898726471466944,-0.01944923587143421;2.915358232602472e-10,-0.0000035819748518406413,0.0002028775925282389,0.013051115907728672;6.621045258725644e-7,0.07198133319616318,-0.017227495089173317,-0.0027174886781722307;-0.045634783804416656,0.000004248171535436995,-0.00011293104034848511,0.0002861419052351266
;-87.60165405273438;-4.7552987325616414e-7,-2.6325546187422333e-8,0.00007898486364865676,-0.01944924145936966;2.9153590652697403e-10,-0.0000035818256947095506,0.00020278051670175046,0.013045975007116795;6.618424208681972e-7,0.07198134809732437,-0.017227498814463615,-0.00271747843362391;-0.04563125595450401,0.00000424652216679533,-0.00011293366696918383,0.0002844358386937529
;-87.60166931152344;-4.755303848469339e-7,-2.6325578161845442e-8,0.0000789824771345593,-0.01944924332201481;2.9153612857157896e-10,-0.0000035816749459627317,0.0002027101581916213,0.013042548671364784;6.616675705117814e-7,0.07198133319616318,-0.017227502539753914,-0.002717473078519106;-0.045627664774656296,0.000004245431682647904,-0.00011293648276478052,0.0002845211129169911
;-87.6016845703125;-4.7553089643770363e-7,-2.6325601254484354e-8,0.00007898007606854662,-0.019449247047305107;2.915361840827302e-10,-0.000003581523287721211,0.0002026397705776617,0.0130391214042902;6.614922085645958e-7,0.07198133319616318,-0.017227504402399063,-0.002717468189075589;-0.04562414437532425,0.000004244342562742531,-0.00011293931311229244,0.00028453060076572
;-87.60169982910156;-4.7553137960676395e-7,-2.6325631452550624e-8,0.00007897768227849156,-0.019449250772595406;2.9153632286060827e-10,-0.000003581371856853366,0.00020256936841178685,0.013035695999860764;6.613173582081799e-7,0.07198130339384079,-0.01722750812768936,-0.0027174646966159344;-0.04562056437134743,0.0000042432520785951056,-0.00011294207797618583,0.0002845808048732579
;-87.60171508789062;-4.755318911975337e-7,-2.6325656321546376e-8,0.00007897528848843649,-0.019449254497885704;2.915363783717595e-10,-0.0000035812204259855207,0.00020249906810931861,0.013032269664108753;6.611425078517641e-7,0.07198130339384079,-0.01722750999033451,-0.0027174591086804867;-0.045617036521434784,0.0000042421629586897325,-0.0001129448864958249,0.00028461264446377754
;-87.60173034667969;-4.755324596317223e-7,-2.6325686519612645e-8,0.00007897290197433904,-0.019449258223176003;2.9153665592751565e-10,-0.000003581069222491351,0.00020242873870301992,0.013028843328356743;6.609675438085105e-7,0.07198130339384079,-0.01722751185297966,-0.0027174544520676136;-0.04561350494623184,0.000004241072929289658,-0.00011294768773950636,0.0002846386341843754
;-87.60174560546875;-4.755329428007826e-7,-2.6325716717678915e-8,0.00007897051546024159,-0.01944926008582115;2.915367669498181e-10,-0.0000035809175642498303,0.00020235843840055168,0.013025418855249882;6.607922387047438e-7,0.0719812884926796,-0.017227517440915108,-0.0027174516580998898;-0.0456099808216095,0.000004239982899889583,-0.00011295043805148453,0.0002846438146661967
;-87.60176086425781;-4.7553342596984294e-7,-2.6325741586674667e-8,0.00007896812894614413,-0.01944926381111145;2.915369057276962e-10,-0.0000035807663607556606,0.00020228815264999866,0.013021991588175297;6.606173315049091e-7,0.07198130339384079,-0.017227517440915108,-0.002717446070164442;-0.045606449246406555,0.000004238893325236859,-0.0001129532465711236,0.00028469617245718837
;-87.60177612304688;-4.755340512474504e-7,-2.6325771784740937e-8,0.0000789657497080043,-0.01944926753640175;2.9153715552787673e-10,-0.000003580615157261491,0.0002022178960032761,0.013018564321100712;6.604424811484932e-7,0.071981281042099,-0.017227519303560257,-0.0027174411807209253;-0.04560291767120361,0.000004237803750584135,-0.00011295598960714415,0.000284696085145697
;-87.60179138183594;-4.755345059948013e-7,-2.6325801982807207e-8,0.00007896336319390684,-0.019449271261692047;2.915372665501792e-10,-0.00000358046349901997,0.0002021476102527231,0.013015141710639;6.602676307920774e-7,0.0719812661409378,-0.017227524891495705,-0.002717438153922558;-0.04559934884309769,0.00000423671372118406,-0.00011295879812678322,0.00028475187718868256
;-87.601806640625;-4.755351596941182e-7,-2.6325835733587155e-8,0.00007896097667980939,-0.019449274986982346;2.915374053280573e-10,-0.000003580312522899476,0.00020207733905408531,0.01301171351224184;6.600923256883107e-7,0.0719812884926796,-0.017227524891495705,-0.0027174334973096848;-0.045595791190862656,0.000004235624146531336,-0.0001129616066464223,0.000284830282907933
;-87.60182189941406;-4.755356144414691e-7,-2.6325862378939746e-8,0.00007895859016571194,-0.019449276849627495;2.9153754410593535e-10,-0.0000035801608646579552,0.00020200714061502367,0.013008288107812405;6.59917418488476e-7,0.07198123633861542,-0.017227528616786003,-0.002717427909374237;-0.045592304319143295,0.000004234534571878612,-0.00011296436423435807,0.00028477029991336167
;-87.60183715820312;-4.755361828756577e-7,-2.6325896129719695e-8,0.0000789562109275721,-0.019449280574917793;2.915377939061159e-10,-0.0000035800096611637855,0.00020193691307213157,0.013004861772060394;6.597425112886413e-7,0.07198124378919601,-0.0172275323420763,-0.0027174241840839386;-0.04558878019452095,0.000004233444997225888,-0.00011296715820208192,0.0002847944269888103
